Ort,schulform,anzahl_schueler,F1_ausstattung
Bielefeld,Förderschule,65,2.0
Bielefeld,Sekundarschule,375,2.0
Bielefeld,Sekundarschule,225,4.0
Bielefeld,Grundschule,218,5.0
Bielefeld,Grundschule,199,5.0
Bielefeld,Grundschule,,
Bielefeld,Grundschule,344,5.0
Blomberg,Grundschule,95,2.0
Bocholt,Berufskolleg,378,
Bocholt,Hauptschule,270,6.0
Bochum,Grundschule,256,5.0
Bochum,Berufskolleg,2000,1.0
Bochum,Grundschule,206,5.0
Bochum,Gesamtschule,1400,4.0
Bochum,Grundschule,322,6.0
Bochum,Grundschule,360,6.0
Bochum,Grundschule,214,5.0
Bochum,Grundschule,210,6.0
Bochum,Gymnasium,650,4.0
Bochum,Grundschule,195,5.0
Bochum,Grundschule,300,5.0
Bochum,Berufskolleg,2300,5.0
Bochum,Gesamtschule,1370,5.0
Bochum,Grundschule,300,5.0
Bochum,Sekundarschule,460,5.0
Bochum,Grundschule,197,4.0
Bochum,Sekundarschule,405,5.0
Bochum,Gymnasium,950,1.0
Bochum,Förderschule,206,5.0
Bochum,Grundschule,220,4.0
Bochum,Grundschule,270,6.0
Bochum,Gesamtschule,1345,6.0
Bonn,Gesamtschule,1350,5.0
Bonn,Gesamtschule,839,3.0
Bonn,Grundschule,180,5.0
Bonn,Grundschule,207,4.0
Bonn,Grundschule,213,4.0
Bonn,Realschule,500,3.0
Bonn,Grundschule,401,5.0
Bonn,Grundschule,278,4.0
Bonn,Hauptschule,374,5.0
Bonn,Berufskolleg,2750,4.0
Bonn,Sonstiges,99,3.0
Bonn,Berufskolleg,2300,5.0
Bonn,Grundschule,300,4.0
Bonn,Grundschule,270,4.0
Borchen,Sekundarschule,380,5.0
Borken,Gymnasium,1350,4.0
Bornheim,Gesamtschule,,4.0
Bornheim,Grundschule,165,3.0
Bottrop,Grundschule,219,6.0
Bottrop,Grundschule,208,5.0
Bottrop,Grundschule,250,2.0
Bottrop,Grundschule,298,2.0
Bottrop,Gesamtschule,1250,5.0
Brilon,Gymnasium,620,3.0
Brüggen,,823,6.0
Brühl,Realschule,400,2.0
Brühl,Berufskolleg,1500,2.0
Bünde,Gymnasium,1014,2.0
Bünde,Realschule,700,4.0
Burbach,Grundschule,359,3.0
Burscheid,Grundschule,200,5.0
Castrop-Rauxel,Grundschule,160,6.0
Castrop-Rauxel,Realschule,770,5.0
Castrop-Rauxel,Grundschule,350,3.0
Castrop-Rauxel,Förderschule,350,6.0
Castrop-Rauxel,Gymnasium,950,6.0
Coesfeld,Grundschule,180,3.0
Coesfeld,Hauptschule,280,1.0
Coesfeld,Berufskolleg,900,2.0
Coesfeld,Gymnasium,730,2.0
Dahlem,Grundschule,200,3.0
Datteln,Gymnasium,730,3.0
Delbrück,Grundschule,189,2.0
Detmold,Privatschule,130,1.0
Detmold,Privatschule,291,1.0
Detmold,Förderschule,210,2.0
Detmold,Grundschule,300,3.0
Detmold,Grundschule,290,5.0
Detmold,Gesamtschule,1050,3.0
Detmold,Gymnasium,750,3.0
Dinslaken,Gymnasium,550,3.0
Dinslaken,Gymnasium,800,3.0
Dinslaken,Grundschule,185,2.0
Dinslaken,Gymnasium,715,2.0
Dormagen,Grundschule,,3.0
Dormagen,Gymnasium,1242,3.0
Dorsten,Förderschule,80,6.0
Dorsten,Realschule,600,3.0
Dortmund,Weiterbildungskolleg,242,5.0
Dortmund,Gesamtschule,900,3.0
Dortmund,Grundschule,215,5.0
Dortmund,Grundschule,200,5.0
Dortmund,Gesamtschule,1400,3.0
Dortmund,Grundschule,378,6.0
Dortmund,Realschule,550,3.0
Dortmund,Gymnasium,950,2.0
Dortmund,Gymnasium,930,1.0
Dortmund,Gymnasium,992,2.0
Dortmund,Grundschule,410,2.0
Dortmund,Grundschule,420,5.0
Dortmund,Grundschule,270,5.0
Dortmund,Grundschule,204,5.0
Dortmund,Sekundarschule,424,2.0
Dortmund,Berufskolleg,3078,1.0
Dortmund,Realschule,600,5.0
Duisburg,Gesamtschule,1010,3.0
Duisburg,Gesamtschule,1000,2.0
Duisburg,Sekundarschule,800,2.0
Duisburg,Grundschule,203,3.0
Duisburg,Gesamtschule,950,6.0
Duisburg,Gymnasium,950,2.0
Duisburg,Grundschule,200,5.0
Duisburg,Grundschule,260,2.0
Duisburg,Grundschule,340,4.0
Duisburg,Grundschule,225,5.0
Dülmen,Grundschule,300,5.0
Dülmen,Gymnasium,667,2.0
Dülmen,Realschule,523,3.0
Dülmen,Hauptschule,359,5.0
Dülmen,Realschule,560,2.0
Düren,Grundschule,300,5.0
Düsseldorf,Förderschule,350,3.0
Düsseldorf,Berufskolleg,2800,2.0
Düsseldorf,,,
Düsseldorf,Grundschule,164,3.0
Düsseldorf,Gymnasium,650,1.0
Düsseldorf,Grundschule,220,4.0
Düsseldorf,Hauptschule,320,2.0
Düsseldorf,Gymnasium,1.25,3.0
Düsseldorf,Gymnasium,,3.0
Düsseldorf,Grundschule,280,2.0
Düsseldorf,Gesamtschule,540,1.0
Düsseldorf,Grundschule,175,4.0
Düsseldorf,Gymnasium,660,3.0
Düsseldorf,Förderschule,165,3.0
Düsseldorf,Grundschule,211,5.0
Eitorf,Sekundarschule,394,4.0
Elsdorf,Förderschule,140,5.0
Emmerich,Förderschule,170,5.0
Ennepetal,Förderschule,100,3.0
Ennepetal,Grundschule,200,4.0
Erftstadt,Grundschule,138,6.0
Erftstadt,Gymnasium,915,6.0
Erkrath,Gymnasium,778,3.0
Erkrath,Grundschule,208,5.0
Eschweiler,Berufskolleg,2000,1.0
Eschweiler,Grundschule,204,6.0
Eslohe,Realschule,550,2.0
Espelkamp,Grundschule,257,4.0
Essen,Grundschule,220,4.0
Essen,Gesamtschule,1150,5.0
Essen,Grundschule,155,5.0
Essen,Gesamtschule,1300,5.0
Essen,Gesamtschule,1300,5.0
Essen,Berufskolleg,391,3.0
Essen,Förderschule,217,2.0
Essen,Grundschule,325,6.0
Essen,Grundschule,204,5.0
Essen,Grundschule,248,6.0
Essen,Gesamtschule,1447,5.0
Essen,Grundschule,2010,3.0
Euskirchen,Grundschule,203,3.0
Euskirchen,Gymnasium,990,3.0
Finnentrop,Gesamtschule,483,2.0
Finnentrop,Grundschule,ca. 400,6.0
Frechen,Grundschule,247,6.0
Frechen,Grundschule,250,4.0
Frechen,Grundschule,300,5.0
Freudenberg,Grundschule,135,3.0
Freudenberg,Grundschule,160,3.0
Fröndenberg/Ruhr,Gesamtschule,1169,2.0
Geilenkirchen,Gesamtschule,950,4.0
Geilenkirchen,Grundschule,210,4.0
Geilenkirchen,Grundschule,300,3.0
Geilenkirchen,Grundschule,106,4.0
Geldern,Berufskolleg,2400,1.0
Geldern,Förderschule,280,3.0
Geldern,Grundschule,159,3.0
Gelsenkirchen,Förderschule,220,6.0
Gelsenkirchen,Förderschule,80,4.0
Gelsenkirchen,Gesamtschule,1450,5.0
Gelsenkirchen,Gesamtschule,1500,2.0
Gelsenkirchen,Berufskolleg,2150,4.0
Gelsenkirchen,Förderschule,182,4.0
Gelsenkirchen,Grundschule,236,4.0
Gelsenkirchen,Grundschule,240,3.0
Gelsenkirchen,Förderschule,170,2.0
Gelsenkirchen,Grundschule,218,3.0
Gelsenkirchen,Förderschule,182,3.0
Gelsenkirchen,Grundschule,310,3.0
Gelsenkirchen,,,
Gelsenkirchen,Grundschule,330,3.0
Gescher,Grundschule,370,5.0
Geseke,Gymnasium,1115,2.0
Gevelsberg,Grundschule,100,4.0
Gevelsberg,Gymnasium,900,2.0
Gladbeck,Berufskolleg,1700,2.0
Gladbeck,Grundschule,318,5.0
Gladbeck,Förderschule,160,3.0
Goch,Grundschule,298,3.0
Goch,Grundschule,278,5.0
Greven,Förderschule,85,5.0
Greven,Gymnasium,1080,3.0
Grevenbroich,Grundschule,300,6.0
Grevenbroich,Grundschule,221,5.0
Grevenbroich,Grundschule,206,3.0
Grevenbroich,Grundschule,179,5.0
Grevenbroich,Förderschule,152,3.0
Grevenbroich,Grundschule,268,5.0
Gronau,Grundschule,190,3.0
Gronau,Gesamtschule,700,3.0
Gronau,Realschule,610,3.0
Gummersbach,Gymnasium,905,2.0
Gütersloh,Gesamtschule,389,3.0
Gütersloh,Realschule,153,3.0
Gütersloh,Förderschule,62,2.0
Gütersloh,Grundschule,240,3.0
Haan,Grundschule,293,3.0
Haan,Grundschule,210,3.0
Hagen,Berufskolleg,2220,5.0
Hagen,Hauptschule,350,6.0
Hagen,Förderschule,230,5.0
Hagen,Gesamtschule,1460,5.0
Hagen,Grundschule,114,5.0
Hagen,Realschule,550,4.0
Hagen,Grundschule,182,4.0
Halle,Gymnasium,750,4.0
Haltern,Hauptschule,320,3.0
Haltern,Gymnasium,1050,3.0
Halver,Berufskolleg,1500,2.0
Halver,Sekundarschule,480,2.0
Hamm,Hauptschule,408,5.0
Hamm,Grundschule,143,4.0
Hamm,Grundschule,200,4.0
Harsewinkel,Grundschule,297,6.0
Harsewinkel,Grundschule,210,5.0
Hattingen,Grundschule,125,4.0
Havixbeck,Gesamtschule,230,1.0
Heek,Grundschule,124,2.0
Heiligenhaus,Grundschule,171,3.0
Heiligenhaus,Gymnasium,880,2.0
Heinsberg,Gesamtschule,900,2.0
Heinsberg,Grundschule,160,5.0
Heinsberg,Gymnasium,1050,3.0
Hennef,Grundschule,223,1.0
Hennef,Grundschule,171,2.0
Hennef,Gesamtschule,250,2.0
Herdecke,Gymnasium,820,2.0
Herdecke,Realschule,501,5.0
Herdecke,Grundschule,198,3.0
Herford,Grundschule,160,4.0
Herford,Grundschule,280,3.0
Herne,Berufskolleg,1850,4.0
Herne,Grundschule,,
Herne,Gymnasium,600,4.0
Herne,Grundschule,243,3.0
Herten,Realschule,384,1.0
Herten,Grundschule,322,6.0
Herten,Grundschule,240,5.0
Herzebrock-Clarholz,Gesamtschule,810,4.0
Herzogenrath,Grundschule,200,5.0
Herzogenrath,Grundschule,183,5.0
Herzogenrath,Grundschule,171,4.0
Hiddenhausen,Förderschule,290,3.0
Hilchenbach,Gymnasium,648,4.0
Hilden,Gesamtschule,280,2.0
Hille,Grundschule,141,3.0
Holzwickede,Grundschule,218,5.0
Hörstel,Gesamtschule,1000,2.0
Hörstel,Grundschule,95,2.0
Hövelhof,Realschule,515,2.0
Hövelhof,Grundschule,310,3.0
Höxter,Grundschule,242,5.0
Hückelhoven,Grundschule,210,5.0
Hückelhoven,Grundschule,127,2.0
Hückeswagen,Privatschule,125,1.0
Hüllhorst,Gesamtschule,1325,2.0
Hüllhorst,Grundschule,151,4.0
Hünxe,Grundschule,130,4.0
Hürtgenwald,Grundschule,169,3.0
Hürtgenwald,Gymnasium,580,3.0
Hürth,Grundschule,265,5.0
Hürth,Gesamtschule,800,3.0
Ibbenbüren,Privatschule,84,3.0
Ibbenbüren,Grundschule,364,3.0
Ibbenbüren,Gymnasium,900,4.0
Iserlohn,Förderschule,250,5.0
Iserlohn,Grundschule,182,2.0
Iserlohn,Grundschule,275,5.0
Iserlohn,Grundschule,250,3.0
Iserlohn,Realschule,650,4.0
Iserlohn,Grundschule,199,3.0
Iserlohn,Grundschule,300,5.0
Jülich,Sekundarschule,709,2.0
Jülich,Grundschule,270,4.0
Kaarst,Gymnasium,930,3.0
Kaarst,Gymnasium,778,4.0
Kalkar,Grundschule,120,5.0
Kalletal,Grundschule,145,2.0
Kamen,Grundschule,270,3.0
Kamp-Lintfort,Grundschule,320,5.0
Kamp-Lintfort,Gymnasium,750,3.0
Kempen,Gymnasium,633,3.0
Kempen,Grundschule,360,4.0
Kerpen,Grundschule,187,5.0
Kerpen,Realschule,560,5.0
Kerpen,Grundschule,169,5.0
Kerpen,Gesamtschule,1200,5.0
Kirchhundem,Grundschule,138,3.0
Kirchlengern,Grundschule,390,2.0
Kleve,Berufskolleg,4800,2.0
Kleve,Gymnasium,780,3.0
Kleve,Gesamtschule,1000,3.0
Kleve,Grundschule,216,4.0
Köln,Hauptschule,480,4.0
Köln,Grundschule,377,4.0
Köln,Förderschule,300,2.0
Köln,Grundschule,20p,6.0
Köln,Realschule,280,4.0
Köln,Privatschule,1250,2.0
Köln,Berufskolleg,550,2.0
Köln,Grundschule,200,3.0
Köln,Grundschule,218,3.0
Köln,Gesamtschule,330,1.0
Köln,Gesamtschule,205,5.0
Köln,Grundschule,325,2.0
Köln,Hauptschule,330,3.0
Köln,Gymnasium,900,2.0
Köln,Grundschule,166,3.0
Köln,Gesamtschule,1600,2.0
Köln,Grundschule,220,3.0
Köln,Gymnasium,950,1.0
Köln,Privatschule,525,2.0
Köln,Privatschule,180,3.0
Köln,Hauptschule,350,4.0
Köln,Förderschule,230,5.0
Köln,Realschule,500,2.0
Köln,Berufskolleg,2400,2.0
Köln,Gesamtschule,1318,2.0
Köln,Weiterbildungskolleg,534,2.0
Köln,Förderschule,164,
Köln,Grundschule,310,6.0
Köln,Grundschule,200,3.0
Köln,Grundschule,190,4.0
Köln,Realschule,850,2.0
Köln,Realschule,700,5.0
Köln,Gymnasium,720,2.0
Köln,Grundschule,420,3.0
Köln,Grundschule,405,4.0
Köln,Berufskolleg,3000,5.0
Köln,Berufskolleg,1750,3.0
Köln,Gymnasium,710,2.0
Köln,Realschule,526,4.0
Köln,Berufskolleg,1900,2.0
Köln,Grundschule,284,5.0
Köln,Grundschule,415,3.0
Köln,Gymnasium,850,4.0
Köln,Förderschule,130,3.0
Köln,Grundschule,300,3.0
Köln,Grundschule,204,2.0
Köln,Grundschule,182,5.0
Köln,Grundschule,260,6.0
Köln,Grundschule,378,4.0
Köln,Grundschule,193,6.0
Köln,Grundschule,210,5.0
Köln,Grundschule,360,2.0
Köln,Grundschule,304,3.0
Köln,Gesamtschule,870,2.0
Köln,Gymnasium,800,4.0
Köln,Grundschule,375,3.0
Köln,Grundschule,430,3.0
Köln,Gymnasium,1030,4.0
Köln,Grundschule,400,5.0
Köln,Gymnasium,1050,3.0
Köln,Förderschule,106,6.0
Köln,Weiterbildungskolleg,680,3.0
Königswinter,Grundschule,140,5.0
Korschenbroich,Grundschule,204,2.0
Kranenburg,Grundschule,188,5.0
Kranenburg,Realschule,130,1.0
Krefeld,Grundschule,190,5.0
Krefeld,Grundschule,269,3.0
Krefeld,Realschule,820,6.0
Krefeld,Grundschule,250,5.0
Krefeld,Förderschule,170,6.0
Kreuztal,Grundschule,165,4.0
Kürten,Grundschule,135,5.0
Lage,Grundschule,290,6.0
Langenfeld,Realschule,718,3.0
Leichlingen,Sekundarschule,640,3.0
Leichlingen,Grundschule,147,1.0
Lemgo,Sonstiges,185,6.0
Lemgo,Grundschule,301,3.0
Lemgo,Grundschule,193,5.0
Lemgo,Berufskolleg,1200,2.0
Lemgo,Sonstiges,136,2.0
Leverkusen,Grundschule,~250,4.0
Leverkusen,Berufskolleg,1520,5.0
Leverkusen,Hauptschule,400,4.0
Leverkusen,,270,5.0
Lienen,Grundschule,109,5.0
Lindlar,Grundschule,185,2.0
Lippstadt,Förderschule,185,4.0
Lippstadt,Weiterbildungskolleg,550,1.0
Lippstadt,Berufskolleg,540,4.0
Lohmar,Grundschule,220,2.0
Löhne,Gesamtschule,973,4.0
Lübbecke,Gymnasium,786,3.0
Lüdenscheid,Realschule,400,2.0
Lüdenscheid,Berufskolleg,1450,3.0
Lüdenscheid,Grundschule,193,6.0
Lüdenscheid,Realschule,500,5.0
Lüdenscheid,Grundschule,215,5.0
Lüdinghausen,Sekundarschule,800,2.0
Lüdinghausen,Gymnasium,740,5.0
Lügde,Grundschule,100,4.0
Lünen,Gymnasium,850,4.0
Lünen,Hauptschule,380,5.0
Lünen,Grundschule,290,1.0
Lünen,Berufskolleg,2000,2.0
Lünen,Realschule,580,3.0
Lünen,Gymnasium,690,4.0
Marl,Grundschule,190,5.0
Marl,Gymnasium,777,3.0
Marl,Grundschule,220,3.0
Marl,Grundschule,225,6.0
Marl,Hauptschule,270,3.0
Mechernich,Gesamtschule,950,2.0
Meckenheim,Gymnasium,720,5.0
Meerbusch,Grundschule,298,3.0
Meerbusch,Gymnasium,932,3.0
Meinerzhagen,Grundschule,270,4.0
Menden,Berufskolleg,510,3.0
Menden,Grundschule,355,5.0
Menden,Gymnasium,930,2.0
Merzenich,Grundschule,110,6.0
Meschede,Gymnasium,610,4.0
Meschede,Grundschule,116,3.0
Meschede,Realschule,450,5.0
Metelen,Grundschule,260,1.0
Mettingen,Realschule,510,2.0
Mettingen,Grundschule,259,3.0
Mettmann,Grundschule,318,6.0
Mettmann,Grundschule,260,
Mettmann,Gymnasium,846,3.0
Minden,Gymnasium,900,3.0
Minden,Förderschule,200,6.0
Minden,Gesamtschule,1150,3.0
Minden,PRIMUS-Schule,720,5.0
Minden,Gymnasium,864,1.0
Minden,Weiterbildungskolleg,630,4.0
Moers,Gymnasium,900,4.0
Moers,Förderschule,125,3.0
Moers,Realschule,640,4.0
Möhnesee,Sekundarschule,390,4.0
Mönchengladbach,Berufskolleg,380,2.0
Mönchengladbach,Berufskolleg,2000,4.0
Mönchengladbach,Grundschule,280,3.0
Mönchengladbach,Realschule,420,3.0
Mönchengladbach,Gymnasium,600,4.0
Mönchengladbach,Berufskolleg,1100,5.0
Mönchengladbach,Realschule,850,4.0
Mönchengladbach,Grundschule,330,5.0
Mönchengladbach,Hauptschule,355,5.0
Mönchengladbach,Gymnasium,700,5.0
Mönchengladbach,Grundschule,375,5.0
Mönchengladbach,Grundschule,165,4.0
Mönchengladbach,Gymnasium,750,5.0
Monheim,,,1.0
Monschau,Realschule,400,2.0
Mülheim,Berufskolleg,1800,6.0
Mülheim,Grundschule,350,5.0
Mülheim,,1000,6.0
Münster,Berufskolleg,1700,5.0
Münster,Gesamtschule,1400,2.0
Münster,Berufskolleg,4000,3.0
Münster,Förderschule,31,3.0
Münster,Berufskolleg,2700,5.0
Münster,Förderschule,216,3.0
Münster,Gymnasium,820,2.0
Münster,Gymnasium,700,3.0
Münster,Berufskolleg,2800,3.0
Nettersheim,Grundschule,229,4.0
Nettetal,Grundschule,200,6.0
Neuenkirchen,Sekundarschule,720,2.0
Neuenrade,Sekundarschule,400,5.0
Neukirchen-Vluyn,Grundschule,230,6.0
Neukirchen-Vluyn,Gesamtschule,820,2.0
Neunkirchen,Realschule,41,1.0
Neunkirchen-Seelscheid,Gymnasium,1200,1.0
Neuss,Gymnasium,1020,3.0
Neuss,Gesamtschule,1040,4.0
Neuss,Gesamtschule,960,2.0
Neuss,Grundschule,321,5.0
Neuss,Grundschule,302,4.0
Niederkassel,Realschule,480,5.0
Niederkassel,Grundschule,290,2.0
Nordkirchen,Gesamtschule,1000,2.0
Nordwalde,Grundschule,202,4.0
Nümbrecht,Sekundarschule,650,4.0
Oberhausen,Realschule,815,2.0
Oberhausen,Berufskolleg,1150,5.0
Oberhausen,Berufskolleg,2060,5.0
Odenthal,Grundschule,157,2.0
Odenthal,Grundschule,174,2.0
Oer-Erkenschwick,Gymnasium,604,3.0
Olfen,Gesamtschule,1037,1.0
Olpe,Grundschule,221,4.0
Olpe,Förderschule,251,3.0
Olsberg,Berufskolleg,2350,3.0
Olsberg,Grundschule,167,5.0
Ostbevern,Grundschule,183,5.0
Overath,Grundschule,244,5.0
Paderborn,Berufskolleg,1700,5.0
Paderborn,Gymnasium,650,4.0
Paderborn,Grundschule,198,4.0
Paderborn,Berufskolleg,1500,2.0
Paderborn,Grundschule,240,4.0
Paderborn,Grundschule,200,2.0
Paderborn,Realschule,786,2.0
Plettenberg,Hauptschule,310,6.0
Porta,Grundschule,138,5.0
Porta,Gesamtschule,900,4.0
Porta,Grundschule,300,5.0
Pulheim,Grundschule,370,2.0
Pulheim,Grundschule,230,4.0
Radevormwald,Realschule,81,2.0
Raesfeld,Grundschule,340,4.0
Rahden,Grundschule,180,4.0
Rahden,Sekundarschule,660,3.0
Ratingen,Grundschule,260,4.0
Ratingen,Gymnasium,895,5.0
Ratingen,Grundschule,,3.0
Ratingen,Realschule,700,3.0
Ratingen,Gymnasium,750,3.0
Recke,Grundschule,140,5.0
Recklinghausen,Förderschule,185,3.0
Recklinghausen,Gymnasium,1070,3.0
Rees,Realschule,763,2.0
Reichshof,Grundschule,218,6.0
Reichshof,Grundschule,166,2.0
Remscheid,Gesamtschule,1170,4.0
Remscheid,Förderschule,365,4.0
Remscheid,Gesamtschule,1350,3.0
Remscheid,Grundschule,239,4.0
Remscheid,Gymnasium,700,4.0
Remscheid,Gymnasium,786,2.0
Rheda-Wiedenbrück,Grundschule,308,2.0
Rheda-Wiedenbrück,Berufskolleg,2000,5.0
Rheinbach,Grundschule,291,2.0
Rheinbach,Berufskolleg,850,2.0
Rheine,Berufskolleg,2500,3.0
Rheine,Förderschule,290,4.0
Rietberg,Förderschule,,4.0
Rietberg,Förderschule,39,5.0
Rietberg,Förderschule,106,5.0
Rödinghausen,Gesamtschule,850,2.0
Rösrath,Förderschule,230,3.0
Rüthen,Gymnasium,670,2.0
Saerbeck,Gesamtschule,950,3.0
Salzkotten,Förderschule,98,2.0
Sankt,Grundschule,164,5.0
Schermbeck,Gesamtschule,1120,3.0
Schieder-Schwalenberg,Grundschule,99,3.0
Schmallenberg,Grundschule,100,4.0
Schwalmtal,Grundschule,245,4.0
Schwelm,Realschule,590,5.0
Schwelm,Grundschule,311,5.0
Schwerte,Grundschule,330,3.0
Schwerte,Grundschule,180,5.0
Senden,Grundschule,110,2.0
Sendenhorst,Gesamtschule,ca. 200,2.0
Siegburg,Realschule,500,3.0
Siegen,Hauptschule,255,4.0
Siegen,Grundschule,180,3.0
Siegen,Gymnasium,720,4.0
Siegen,Förderschule,138,2.0
Siegen,Förderschule,169,4.0
Siegen,Gesamtschule,1150,2.0
Soest,Förderschule,240,5.0
Soest,Grundschule,199,3.0
Soest,Gesamtschule,872,3.0
Soest,Grundschule,285,5.0
Soest,Grundschule,189,4.0
Solingen,Realschule,713,4.0
Solingen,Gesamtschule,1.35,3.0
Solingen,Gesamtschule,1550,2.0
Solingen,Grundschule,275,4.0
Solingen,Realschule,630,6.0
Solingen,Gesamtschule,725,3.0
Solingen,Berufskolleg,1650,3.0
Solingen,Förderschule,156,3.0
Spenge,Grundschule,270,5.0
Spenge,Grundschule,240,4.0
Stadtlohn,Realschule,,1.0
Steinfurt,Berufskolleg,2200,2.0
Steinfurt,Förderschule,141,6.0
Steinfurt,Förderschule,220,2.0
Steinhagen,Grundschule,180,2.0
Steinhagen,Grundschule,230,3.0
Steinheim,Gymnasium,536,2.0
Stemwede,Grundschule,129,4.0
Stolberg,Grundschule,220,5.0
Stolberg,Grundschule,163,3.0
Stolberg,Grundschule,190,4.0
Stolberg,Förderschule,206,2.0
Stolberg,Förderschule,175,4.0
Straelen,Grundschule,531,5.0
Sundern,Grundschule,189,4.0
Sundern,Grundschule,118,4.0
Telgte,Sekundarschule,585,3.0
Tönisvorst,Gesamtschule,850,5.0
Troisdorf,Förderschule,95,3.0
Troisdorf,Grundschule,376,4.0
Troisdorf,Hauptschule,250,5.0
Troisdorf,Grundschule,258,4.0
Unna,Gymnasium,750,3.0
Unna,Berufskolleg,2300,2.0
Unna,Realschule,650,2.0
Unna,Grundschule,143,2.0
Unna,Gymnasium,900,2.0
Unna,Gesamtschule,1250,5.0
Unna,Grundschule,111,3.0
Unna,Gesamtschule,864,2.0
Velbert,Grundschule,320,6.0
Velbert,Gymnasium,720,5.0
Velbert,Grundschule,150,6.0
Velbert,Förderschule,136,2.0
Velbert,Grundschule,181,6.0
Velbert,Grundschule,187,5.0
Velbert,Gesamtschule,1300,4.0
Versmold,Hauptschule,28,2.0
Viersen,Grundschule,192,5.0
Viersen,Gesamtschule,1265,4.0
Viersen,Gymnasium,675,5.0
Viersen,Gymnasium,870,5.0
Viersen,Realschule,598,2.0
Vlotho,Grundschule,240,2.0
Vlotho,Gymnasium,600,2.0
Voerde,Sonstiges,160,5.0
Vreden,Grundschule,450,3.0
Waldbröl,Förderschule,225,4.0
Waldbröl,Grundschule,281,4.0
Waltrop,Gesamtschule,966,4.0
Waltrop,Realschule,674,3.0
Warendorf,Grundschule,214,2.0
Warendorf,Förderschule,122,2.0
Wassenberg,Grundschule,306,6.0
Wassenberg,Grundschule,157,4.0
Wegberg,Realschule,420,5.0
Welver,Grundschule,160,2.0
Wenden,Grundschule,390,3.0
Werdohl,Grundschule,200,5.0
Werl,Grundschule,207,2.0
Werl,Grundschule,320,4.0
Wermelskirchen,Grundschule,175,2.0
Wermelskirchen,Grundschule,245,2.0
Werne,Gymnasium,650,2.0
Werne,Berufskolleg,12859,2.0
Werne,Grundschule,430,5.0
Wesel,Gymnasium,937,4.0
Wesel,Grundschule,170,2.0
Wesseling,Realschule,520,1.0
Wetter,Berufskolleg,520,2.0
Wickede,Grundschule,223,4.0
Willebadessen,Grundschule,200,1.0
Willich,Gymnasium,809,2.0
Willich,Gesamtschule,1080,3.0
Willich,Grundschule,170,3.0
Willich,Gymnasium,1003,2.0
Wilnsdorf,Grundschule,309,2.0
Windeck,Gymnasium,650,
Windeck,Grundschule,103,
