ID_Region,Region,Jahr,Merkmal,Wert,Durchschnittlicher Kaufwert je qm: Baulandverkäufe,Statistik
05370,"Heinsberg, Kreis",2018,Durchschnittlicher Kaufwert je qm,116.51,baureifes Land,Statistik der Kaufwerte für Bauland
05374,Oberbergischer Kreis,2018,Durchschnittlicher Kaufwert je qm,84.09,baureifes Land,Statistik der Kaufwerte für Bauland
05378,Rheinisch-Bergischer Kreis,2018,Durchschnittlicher Kaufwert je qm,206.07,baureifes Land,Statistik der Kaufwerte für Bauland
05382,Rhein-Sieg-Kreis,2018,Durchschnittlicher Kaufwert je qm,223.55,baureifes Land,Statistik der Kaufwerte für Bauland
05512,"Bottrop, Kreisfreie Stadt",2018,Durchschnittlicher Kaufwert je qm,165.49,baureifes Land,Statistik der Kaufwerte für Bauland
05513,"Gelsenkirchen, Kreisfreie Stadt",2018,Durchschnittlicher Kaufwert je qm,186.86,baureifes Land,Statistik der Kaufwerte für Bauland
05515,"Münster, Kreisfreie Stadt",2018,Durchschnittlicher Kaufwert je qm,327.25,baureifes Land,Statistik der Kaufwerte für Bauland
05554,"Borken, Kreis",2018,Durchschnittlicher Kaufwert je qm,97.61,baureifes Land,Statistik der Kaufwerte für Bauland
05558,"Coesfeld, Kreis",2018,Durchschnittlicher Kaufwert je qm,170.59,baureifes Land,Statistik der Kaufwerte für Bauland
05562,"Recklinghausen, Kreis",2018,Durchschnittlicher Kaufwert je qm,161.19,baureifes Land,Statistik der Kaufwerte für Bauland
05566,"Steinfurt, Kreis",2018,Durchschnittlicher Kaufwert je qm,130.03,baureifes Land,Statistik der Kaufwerte für Bauland
05570,"Warendorf, Kreis",2018,Durchschnittlicher Kaufwert je qm,155.08,baureifes Land,Statistik der Kaufwerte für Bauland
05711,"Bielefeld, Kreisfreie Stadt",2018,Durchschnittlicher Kaufwert je qm,245.33,baureifes Land,Statistik der Kaufwerte für Bauland
05754,"Gütersloh, Kreis",2018,Durchschnittlicher Kaufwert je qm,100.3,baureifes Land,Statistik der Kaufwerte für Bauland
05758,"Herford, Kreis",2018,Durchschnittlicher Kaufwert je qm,90.11,baureifes Land,Statistik der Kaufwerte für Bauland
05762,"Höxter, Kreis",2018,Durchschnittlicher Kaufwert je qm,48.22,baureifes Land,Statistik der Kaufwerte für Bauland
05766,"Lippe, Kreis",2018,Durchschnittlicher Kaufwert je qm,106.76,baureifes Land,Statistik der Kaufwerte für Bauland
05770,"Minden-Lübbecke, Kreis",2018,Durchschnittlicher Kaufwert je qm,80.35,baureifes Land,Statistik der Kaufwerte für Bauland
05774,"Paderborn, Kreis",2018,Durchschnittlicher Kaufwert je qm,195.54,baureifes Land,Statistik der Kaufwerte für Bauland
05911,"Bochum, Kreisfreie Stadt",2018,Durchschnittlicher Kaufwert je qm,163.59,baureifes Land,Statistik der Kaufwerte für Bauland
05913,"Dortmund, Kreisfreie Stadt",2018,Durchschnittlicher Kaufwert je qm,241.57,baureifes Land,Statistik der Kaufwerte für Bauland
05914,"Hagen, Kreisfreie Stadt",2018,Durchschnittlicher Kaufwert je qm,103.84,baureifes Land,Statistik der Kaufwerte für Bauland
05915,"Hamm, Kreisfreie Stadt",2018,Durchschnittlicher Kaufwert je qm,234.44,baureifes Land,Statistik der Kaufwerte für Bauland
05916,"Herne, Kreisfreie Stadt",2018,Durchschnittlicher Kaufwert je qm,228.79,baureifes Land,Statistik der Kaufwerte für Bauland
05954,Ennepe-Ruhr-Kreis,2018,Durchschnittlicher Kaufwert je qm,214.54,baureifes Land,Statistik der Kaufwerte für Bauland
05958,Hochsauerlandkreis,2018,Durchschnittlicher Kaufwert je qm,59.3,baureifes Land,Statistik der Kaufwerte für Bauland
05962,Märkischer Kreis,2018,Durchschnittlicher Kaufwert je qm,47.79,baureifes Land,Statistik der Kaufwerte für Bauland
05966,"Olpe, Kreis",2018,Durchschnittlicher Kaufwert je qm,91.93,baureifes Land,Statistik der Kaufwerte für Bauland
05970,"Siegen-Wittgenstein, Kreis",2018,Durchschnittlicher Kaufwert je qm,94.47,baureifes Land,Statistik der Kaufwerte für Bauland
05974,"Soest, Kreis",2018,Durchschnittlicher Kaufwert je qm,106.72,baureifes Land,Statistik der Kaufwerte für Bauland
05978,"Unna, Kreis",2018,Durchschnittlicher Kaufwert je qm,125.63,baureifes Land,Statistik der Kaufwerte für Bauland
